request_method,uri,url_length,num_parameters,special_char_count,path_depth,has_encoded_chars,request_rate,response_code,user_agent_entropy,attack_type
GET,/app/shop?filter=price>100&ref=968,34,3,1,2,0,92,200,3.94275148089253,Normal
GET,/app/home?id=312,16,1,0,2,0,4,200,1.7212450683455738,Normal
POST,/app/search?q=| whoami,22,1,1,2,0,49,403,1.6180305783560018,RCE
GET,/app/login?redirect=/dashboard&ref=458,38,3,0,3,0,15,200,4.481391297669876,Normal
GET,/app/forum?tag=#security&ref=834,32,3,0,2,0,1,200,1.4585049692176804,Normal
POST,/app/search?q=ping -c 4 8.8.8.8,31,1,1,2,0,11,500,1.201435545485816,XSS
GET,/app/home?id=402,16,1,0,2,0,93,200,4.556998358194988,Normal
GET,/app/note?txt=hello_world!&ref=133,34,3,1,2,0,11,200,1.2544188951684783,Normal
GET,/app/home?id=872,16,1,0,2,0,21,200,2.9576413109861566,Normal
GET,/app/login?q=1 OR 1=1,21,2,0,2,0,58,500,1.386728219791077,SQL Injection
GET,/app/login?q=alert(1),21,1,2,2,0,84,403,3.22011007529204,SQL Injection
POST,/app/login?q=1 OR 1=1,21,2,0,2,0,21,500,1.954269123136771,XSS
GET,/app/home?id=126,16,1,0,2,0,60,200,3.8571584154897756,Normal
GET,/app/login?q=../../etc/passwd,29,1,0,5,0,43,500,4.645396705553201,XSS
POST,/app/home?id=381,16,1,0,2,0,33,200,1.401745359943312,Normal
GET,/app/home?id=105,16,1,0,2,0,86,200,2.8866673080845717,Normal
GET,/app/login?redirect=/dashboard&ref=633,38,3,0,3,0,34,200,3.582649499651441,Normal
POST,/app/home?id=495,16,1,0,2,0,78,200,1.4278588052934662,Normal
POST,/app/search%3Fq%3Dcat%20/etc/shadow,35,0,0,4,1,11,500,3.5093902036447697,XSS
POST,/app/search%3Fq%3Dcat%20/etc/shadow,35,0,0,4,1,10,403,4.441343178717569,SQL Injection
GET,/app/home?id=223,16,1,0,2,0,57,200,4.448744524193306,Normal
GET,/app/search?q=ping -c 4 8.8.8.8,31,1,1,2,0,12,500,2.4327761752667745,RCE
POST,/app/search?q=ping -c 4 8.8.8.8,31,1,1,2,0,13,500,3.5619394603302252,XSS
GET,/app/home?id=242,16,1,0,2,0,9,200,1.139303015920702,Normal
GET,/app/home?id=167,16,1,0,2,0,79,200,1.773166835498949,Normal
GET,/app/home?id=881,16,1,0,2,0,72,200,2.580110012758768,Normal
POST,/app/home?id=760,16,1,0,2,0,97,200,1.5806849481687428,Normal
GET,/app/home?id=670,16,1,0,2,0,94,200,1.8905340191633906,Normal
GET,/app/note?txt=hello_world!&ref=292,34,3,1,2,0,55,200,2.0644015074233284,Normal
GET,/app/search?q=| whoami,22,1,1,2,0,4,403,3.623947573126072,SQL Injection
POST,/app/calc?formula=x*y-z&ref=545,31,3,2,2,0,53,200,2.916035682169607,Normal
GET,/app/shop?filter=price>100&ref=419,34,3,1,2,0,30,200,4.445045117599585,Normal
GET,/app/shop?filter=price>100&ref=831,34,3,1,2,0,19,200,1.608527057784996,Normal
POST,/app/home?id=764,16,1,0,2,0,39,200,2.6937305514583785,Normal
GET,/app/login?q=alert(1),21,1,2,2,0,59,403,3.8727694325716695,XSS
GET,/app/home?id=371,16,1,0,2,0,9,200,4.284260951757803,Normal
POST,/app/login?q=admin'--,21,1,3,2,0,27,500,1.9947428079134677,RCE
GET,/app/home?id=668,16,1,0,2,0,74,200,1.8442211742831391,Normal
GET,/app/note?txt=hello_world!&ref=795,34,3,1,2,0,99,200,4.2460926902422145,Normal
GET,/app/login?q=../../etc/passwd,29,1,0,5,0,35,200,3.3691577944734057,RCE
GET,/app/search%3Fq%3D%7C%20whoami,30,0,0,2,1,51,200,4.346290399089019,XSS
GET,/app/contact?email=user@mail.com&ref=178,40,3,1,2,0,59,200,2.8508321199677735,Normal
GET,/app/search?q=union+jack&ref=433,32,3,0,2,0,35,200,4.805451621859117,Normal
POST,/app/home?id=420,16,1,0,2,0,89,200,1.411233359275497,Normal
POST,/app/login?q=1 OR 1=1,21,2,0,2,0,85,500,4.52082941357107,XSS
